sector,stock_name,symbol,overall_score,return_pct,score_rank,return_rank,rank_deviation,rank_deviation_pct,bucket
"E-Commerce/App based Aggregator","Mish Designs Ltd",544015,79.04,-13.09,2,13,11,44,"Rest"
"E-Commerce/App based Aggregator","Info Edge (India) Ltd",NAUKRI,77.20,-24.47,3,18,15,60,"Rest"
"E-Commerce/App based Aggregator","Macfos Ltd",543787,75.68,41.24,4,4,0,0,"Exact Match"
"E-Commerce/App based Aggregator","Pace E-Commerce Ventures Ltd",543637,74.74,-36.50,5,24,19,76,"Rest"
"E-Commerce/App based Aggregator","Indiamart Intermesh Ltd",INDIAMART,72.86,-17.87,6,15,9,36,"Rest"
"E-Commerce/App based Aggregator","MSTC Ltd",MSTCLTD,66.39,0.81,7,8,1,4,"Within 10%"
"E-Commerce/App based Aggregator","Ahasolar Technologies Ltd",543941,66.09,-40.12,8,25,17,68,"Rest"
"E-Commerce/App based Aggregator","Nazara Technologies Ltd",NAZARA,66.08,-7.26,9,11,2,8,"Within 10%"
"E-Commerce/App based Aggregator","Olympia Industries Ltd",521105,64.06,-16.24,10,14,4,16,"Within 25%"
"E-Commerce/App based Aggregator","Nureca Ltd",NURECA,61.79,19.19,11,6,5,20,"Within 25%"
"E-Commerce/App based Aggregator","Easy Trip Planners Ltd",EASEMYTRIP,58.38,-4.69,12,9,3,12,"Within 25%"
"E-Commerce/App based Aggregator","Add-Shop E-Retail Ltd",541865,57.84,-22.11,13,17,4,16,"Within 25%"
"E-Commerce/App based Aggregator","Yatra Online Ltd",YATRA,56.41,-25.05,14,19,5,20,"Within 25%"
"E-Commerce/App based Aggregator","AVI Products India Ltd",523896,54.84,78.38,15.5,2,13.5,54,"Rest"
