stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
4491,"Decipher Labs Ltd",524752,"Pharmaceuticals",Small Cap,63.50,HOLD,19.25,100.00,0.00,18.50,10.97,7.5,-31.63,-27.97
76686,"DCX Systems Ltd",DCXINDIA,"Aerospace & Defence",Small Cap,63.48,HOLD,65.50,65.00,0.00,45.00,267,175.45,-34.29,-30.63
284,"Linde India Ltd",LINDEINDIA,"Chemicals",Mid Cap,63.46,HOLD,78.00,62.00,0.00,10.50,6315.1,6715.5,6.34,10
552,"Tata Chemicals Ltd",TATACHEM,"Chemicals",Small Cap,63.46,HOLD,48.25,78.50,0.00,32.00,937.5,718.85,-23.32,-19.66
3029,"Chambal Fertilisers & Chemicals Ltd",CHAMBLFERT,"Fertilizers",Small Cap,63.46,HOLD,52.25,71.00,0.00,63.00,561.25,459.05,-18.21,-14.55
3218,"Multibase India Ltd",526169,"Chemicals",Small Cap,63.44,HOLD,70.00,68.00,0.00,6.00,242.9,205.75,-15.29,-11.63
27305,"BMW Industries Ltd",542669,"Steel",Small Cap,63.44,HOLD,49.75,81.50,0.00,6.00,46.78,35.59,-23.92,-20.26
2970,"Trident Ltd",TRIDENT,"Textiles",Small Cap,63.43,HOLD,50.75,79.50,0.00,14.50,28.51,26,-8.8,-5.14
6710,"Sanjivani Paranteral Ltd",531569,"Pharmaceuticals",Small Cap,63.43,HOLD,72.50,65.00,0.00,14.50,212.3,195,-8.15,-4.49
78289,"CFF Fluid Control Ltd",543920,"Aerospace & Defence",Small Cap,63.43,HOLD,54.50,67.50,0.00,75.50,644.05,523.05,-18.79,-15.13
328,"Whirlpool of India Ltd",WHIRLPOOL,"Consumer Durables",Small Cap,63.41,HOLD,37.75,87.50,0.00,18.50,1301.45,919.95,-29.31,-25.65
1059,"Hindustan Foods Ltd",HNDFDS,"FMCG",Small Cap,63.41,HOLD,70.00,65.00,0.00,25.00,528.6,484.55,-8.33,-4.67
71826,"Lex Nimble Solutions Ltd",541196,"IT - Software",Small Cap,63.40,HOLD,55.75,68.50,0.00,0.00,96.97,83.16,-14.24,-10.58
